,text,gender
1423587,"Yeats is generally considered one of the twentieth century key English language poets. He was a Symbolist poet, using allusive imagery and symbolic structures throughout his career. He chose words and assembled them so that, in addition to a particular meaning, they suggest abstract thoughts that may seem more significant and resonant. His use of symbols is usually something physical that is both itself and a suggestion of other, perhaps immaterial, timeless qualities.",0
214685,"In 1858, he built a homestead that he called ""Okeover"". These days, the homestead and the land belong to the University of Canterbury. The Ilam School of Fine Arts moved into the Okeover homestead in 1957 (it was the first department to move to the new site in Ilam), and moved into a new building in 1979. These days, the Continuing & Bridging Education department uses the building.",0
3839680,Francis was elected in 1999 a Fellow of the Royal Society of Literature.,0
5136093,"Inversora Juramento Inc., founded in 1990, is one of the leading farming-cattle companies in the Argentine Northern Region. Because of its high quality standards, it is considered a model company. ",0
1586939,Mavinagudi falls is visible from Jog Falls during June - November period and the falls is surrounded by forest filled mountain range.,0
5974027,"Gönül was born in Bafra, Samsun, where he and his family lived before moving to Bursa when Gönül was six years old. His uncle signed him up with Bursayolspor's youth squad in 1999, and Gönül began his footballing career as a goalkeeper. However, after several other young goalkeepers signed with the club, Gönül was moved to the outfield. After putting in several performances, Gönül was told he would not play goalkeeper again. At first, Gönül played football as a hobby and something to play when there was nothing else to do. He began taking the sport more seriously when his coach at the time, Mehmet Kirazoğlu, took him under his wing and trained him individually. Soon after, Gönül played in a senior match against 30-year-olds; Gönül was 13 at the time.",0
3798468,"Klavan has written columns and appeared as a political commentator for a variety of conservative publications such as the news-magazine ""City Journal"" and PJ Media. He currently releases a daily podcast named ""The Andrew Klavan Show"" on the website The Daily Wire.",0
4370066,"He married Jemima Wedderburn (cousin of James Clerk Maxwell), the daughter of James Wedderburn, Solicitor-General for Scotland.",0
4237573,"In March 2012 Cairns successfully sued former Indian Premier League commissioner Lalit Modi for libel, after Modi posted on Twitter in 2010 that Cairns had been involved in match-fixing during 2008. He won costs and damages. On 12 September 2014, the Metropolitan Police announced that they would charge Cairns with perjury stemming from the Modi libel trial. He was acquitted of charges of perjury and perverting the course of justice on November 30 2015 ",0
968813,"Edward Price (born 1840, date of death unknown) was a Union Navy sailor in the American Civil War and a recipient of the U.S. military's highest decoration, the Medal of Honor, for his actions at the Battle of Mobile Bay.",0
