,_id,text,orig_gender
0,train46,who plays the queen of thorns in game of thrones,f
1,train80,what is the name of ramaiya vastavaiya heroine,f
2,train108,what is the name of lady dedlock's illegitimate daughter in bleak house,f
3,train116,who strangled susan's daughter in desperate housewives,f
4,train131,who plays rizzoli's mother on rizzoli & isles,f
5,train167,who was born in 2 halves to 2 different mothers in mahabharat,f
6,train301,who plays sam's girlfriend on game of thrones,f
7,train389,who does the voice of grandma in moana,f
8,train418,who played robert's mother on grace and frankie,f
9,train429,what is the name of the scotty dog in lady and the tramp,f
10,train464,who plays rusty's mom on major crimes,f
11,train531,who plays the crocodile in the princess and the frog,f
12,train594,who played mel gibson's youngest daughter in the patriot,f
13,train614,who played maggie on how i met your mother,f
14,train647,who was the girl in dancing in the dark video,f
15,train683,who plays stella in how i met your mother,f
16,train708,who is the girl from brenda's got a baby video,f
17,train726,who is the little girl on we bought a zoo,f
18,train820,who is the female author of silent spring,f
19,train834,shawn mendes there's nothing holding me back girl name,f
20,train865,who plays shannon on how i met your mother,f
21,train871,girl who plays in guardians of the galaxy,f
22,train944,who plays matt's wife on 7th heaven,f
23,train958,who is the girl on slaughter album cover,f
24,train969,who played quincy's wife in the last ship,f
25,train974,where did the band name queen come from,f
26,train975,who was the woman that lived with the gorillas,f
27,train997,who put the overalls in mrs murphy's chowder,f
28,train1047,who wrote the song my woman my woman my wife,f
29,train1049,who is the girl on the autonation commercial,f
30,train1120,who played alan bennett's mother in the lady in the van,f
31,train1280,who sings come back when you grow up girl,f
32,train1312,who played ms pearly on friday after next,f
33,train1396,who played phoebe's brother's wife on friends,f
34,train1400,who is the actress that played princess leia,f
35,train1407,who won last year's women's world cup,f
36,train1427,who played the lady in choo choo soul,f
37,train1437,who is dawn married to in real housewives of cheshire,f
38,train1512,who plays perseus mother in clash of the titans,f
39,train1557,who plays zoey how i met your mother,f
40,train1571,who plays the sister in guardians of the galaxy,f
41,train1592,who wrote the song this girl is on fire,f
42,train1608,who plays the exorcist girl in scary movie 2,f
43,train1633,who plays jonathan's mom in hotel transylvania 2,f
44,train1639,who is the first foreign born first lady,f
45,train1665,who sang. she flies like a bird in the sky,f
46,train1694,what was blondies name before she married dagwood,f
47,train1713,who played coach boone wife in remember the titans,f
48,train1730,who is the girl that sings oceans where feet may fail,f
49,train1747,who was the first woman to land a triple axle at the olympics,f
50,train1819,who is the actress that became a nun,f
51,train1834,who sang most beautiful girl in the world,f
52,train1852,who sings i'm not that girl in wicked,f
53,train1881,who plays lily on how i met your mother,f
54,train1956,who is mrs x in the nanny diaries,f
55,train1960,who plays quinn in how i met your mother,f
56,train1961,who is im in love with a church girl based on,f
57,train1964,who played john wayne's daughter in mcclintock,f
58,train1972,who was glumdalclitch how did she help gulliver,f
59,train1980,who is the actress of the new wonder woman,f
60,train2009,who played derek's sister on grey's anatomy,f
61,train2099,who played the wicked witch on wizard of oz,f
62,train2128,who is the movie girl in the box based on,f
63,train2170,who played curly watts wife in coronation street,f
64,train2225,who does julie andrews play in princess diaries,f
65,train2304,american female singer who died in a plane crash,f
66,train2313,who wrote the melody to god save the queen,f
67,train2350,who played jim lovell's daughter in apollo 13,f
68,train2353,who was the mother on lost in space,f
69,train2361,who does princess maria marry in war and peace,f
70,train2366,who played the oldest daughter on the nanny,f
71,train2386,who plays jay's ex wife on modern family,f
72,train2436,who sings give me some kind of sign girl,f
73,train2504,what is coach's real name new girl,f
74,train2523,who played mother on little house on the prairie,f
75,train2536,who is the actress that plays claire on outlander,f
76,train2538,who plays kyle's mother in csi miami,f
77,train2569,who owns the mother lode mine in mccarthy alaska,f
78,train2590,who plays will on girlfriends guide to divorce,f
79,train2613,who played tony and ziva's daughter on ncis,f
80,train2619,who was the asian fly girl on in living color,f
81,train2623,who plays the wildling girl in game of thrones,f
82,train2625,who plays ares in the movie wonder woman,f
83,train2672,who painted the lady with the pearl earring,f
84,train2683,who plays sheldons girlfriend on big bang theory,f
85,train2690,who marries ted in how i met your mother,f
86,train2699,who was originally offered the role of pretty woman,f
87,train2740,who plays the grandmother in switched at birth,f
88,train2795,who played queen victoria in the tv series,f
89,train2897,who played sophie in the original mama mia,f
90,train2906,surname of woman who owns pie shop in sweeny todd,f
91,train2933,who played the mom in diary of a wimpy kid,f
92,train3003,who is the actress that plays hope on the bold and the beautiful,f
93,train3006,who played the girl in true grit with john wayne,f
94,train3012,who plays the blue lady in the fifth element,f
95,train3046,who played sister mary eunice in american horror story,f
96,train3051,who plays alice's mom in home again,f
97,train3114,who played mother superior in sound of music movie,f
98,train3127,who wrote mrs dalloway and a room of one s own,f
99,train3129,who played mrs garrett on the facts of life,f
100,train3191,who played hotchner's wife in criminal minds,f
101,train3207,who wrote the girl who played with fire,f
102,train3215,who played the bishop in the bishop's wife,f
103,train3243,who plays toby's wife on west wing,f
104,train3278,who is jake's mom in the dark tower,f
105,train3317,who sings the song she from notting hill,f
106,train3382,actress who plays jill on the young and the restless,f
107,train3394,who started the women's suffrage movement in canada,f
108,train3420,who was the girl who played judy on leave it to beaver,f
109,train3463,who plays sheldon's mom in big bang theory,f
110,train3473,who sang the song she wears my ring,f
111,train3511,who played the daughter in everybody loves raymond,f
112,train3514,who played colleen in dr quinn medicine woman,f
113,train3523,who does mrs puff's voice on spongebob,f
114,train3651,who plays the red queen in resident evil,f
115,train3677,who plays the spanish girl in orange is the new black,f
116,train3695,who was the only female prime minister of canada,f
117,train3706,who sings the song a girl like you,f
118,train3710,who plays tim mcgee's girlfriend on ncis,f
119,train3760,who plays stifler's mom in american pie,f
120,train3795,who played melinda gordon's mother on ghost whisperer,f
121,train3814,who played robin on how i met your mother,f
122,train3822,who is the actress that played kimmy gibbler on full house,f
123,train3842,who sings youre gonna miss me when im gone,f
124,train3907,who sang the songs in coal miner's daughter,f
125,train3937,who plays the little girl in return to oz,f
126,train3948,who sang oh happy day in sister act 2,f
127,train3963,who played mrs buckminster on how i met your mother,f
128,train4042,actress who starred in films including pretty woman and notting hill,f
129,train4058,who played jeremy on here comes the brides,f
130,train4063,who wrote the lyrics to my fair lady,f
131,train4135,who played george's girlfriend susan on seinfeld,f
132,train4152,who is the surfer who lost her arm,f
133,train4153,who wrote speak to a girl by tim mcgraw,f
134,train4195,who plays reid's mom on criminal minds,f
135,train4278,who sang im in love with the other woman,f
136,train4281,who sang the song hey there lonely girl,f
137,train4311,actress who plays dr obrecht on general hospital,f
138,train4323,who plays jason the investigator on the good wife,f
139,train4329,who is the girl in when i'm gone,f
140,train4375,who played rachel's sister amy on friends,f
141,train4384,who plays the girl in the 5th wave,f
142,train4432,who played wonder woman's mother on the tv series,f
143,train4445,who is considered the mother of philippine folklore,f
144,train4482,who played ben matlock's daughter on matlock,f
145,train4489,from which body part shurpnakha drive her name,f
146,train4492,who is the little girl in august rush,f
147,train4548,who plays greg's mom in the long haul,f
148,train4637,who is the actress that plays pepper on american horror story,f
149,train4729,who played miley's mom on hannah montana,f
150,train4751,who sings grandma got run over by a reindeer lyrics,f
151,train4794,the girl who was shot for going to school,f
152,train4816,who played the role of sakshi in ms dhoni,f
153,train4829,who plays leonard on sabrina the teenage witch,f
154,train4838,who is the quote though she be but little she is fierce about,f
155,train4933,who plays hershel's daughter on walking dead,f
156,train4943,who played the wife on mcmillan & wife,f
157,train4946,who is the actress of harley quinn in suicide squad,f
158,train5005,who is the girl in justin timberlake what goes around comes around,f
159,train5011,who is the girl cop in super troopers,f
160,train5051,who played laura palmer's mother on twin peaks,f
161,train5055,who was the greatest female athlete of the first half of the 20th century as voted by the ap,f
162,train5060,who plays the girl in a knight's tale,f
163,train5066,who plays the little girl on remember the titans,f
164,train5090,what is bella off twilight's daughters name,f
165,train5119,who is the girl in one call away,f
166,train5124,who did blair end up with in gossip girl,f
167,train5125,who played the girl in journey 2 the mysterious island,f
168,train5152,who won the first ever women's rugby world cup,f
169,train5201,who plays hunter grandmother in home and away,f
170,train5270,who plays stacey in stacy's mom music video,f
171,train5276,who played the mother in the thorn birds,f
172,train5314,who was the actress that played aunt bea,f
173,train5324,what is the real name of scarlet witch,f
174,train5328,who is the most awarded actress of all time,f
175,train5356,who plays lucious lyon's mother on empire,f
176,train5418,who played steve mcdonald's wife in coronation street,f
177,train5436,who was the actress in dancing with wolves,f
178,train5564,who is the little black girl on full house,f
179,train5666,who plays amy's mother in everybody loves raymond,f
180,train5702,who plays john kramer's wife in saw,f
181,train5715,what is the girl ducks name in ducktales,f
182,train5822,who plays jess's sister in bridge to terabithia,f
183,train5873,who is the bella twins mother married to,f
184,train5900,who played the daughter in national lampoon's christmas vacation,f
185,train5976,who played snow queen in once upon a time,f
186,train6089,who plays the sister in home alone 3,f
187,train6103,who was the first female medal of honor recipient,f
188,train6122,who sang the song she blinded me with science,f
189,train6255,who is the queen in star wars episode 1,f
190,train6274,who plays the wife of the president on designated survivor,f
191,train6284,what does the name eden mean for a girl,f
192,train6327,who is the lady that does the progressive insurance commercials,f
193,train6385,who is the actress that played 7 of 9 on star trek,f
194,train6420,who played simon barlow's mother in coronation street,f
195,train6422,who does the little girl voice in despicable me,f
196,train6454,who sings paint it black in the last witch hunter,f
197,train6557,who plays young cece rhodes in gossip girl,f
198,train6576,who played the black girl in imitation of life,f
199,train6630,who plays pipers mom on orange is the new black,f
200,train6709,who plays the fairy god mother in shrek 2,f
201,train6764,who is the girl in guns n roses,f
202,train6813,who is the first female supreme court chief justice,f
203,train6891,actress who played scout to kill a mockingbird,f
204,train6950,who is the actress that plays alice in twilight,f
205,train6957,who was the first african american woman to serve in the senate,f
206,train6975,who is the actress of hate story 2,f
207,train7072,who played guitar on mama i'm coming home,f
208,train7093,who wrote all she wants to do is dance,f
209,train7102,actress who plays rose in the last jedi,f
210,train7168,who plays steph's mom on the fosters,f
211,train7218,who plays the female lead in the movie raam leela,f
212,train7264,who does the singing in queen of the damned,f
213,train7266,what is the local name of the philippine mouse deer,f
214,train7283,who plays barney from how i met your mother,f
215,train7288,who is the actress that plays daphne on switched at birth,f
216,train7332,who played aunt pittypat in gone with the wind,f
217,train7377,who wrote the song girl you'll be a woman soon,f
218,train7462,who won wimbledon women's singles champion 2014,f
219,train7478,who is the couple in how i met your mother,f
220,train7488,who is the original singer of you're gonna miss me when i'm gone,f
221,train7552,who played the role of the mother in the film mother india,f
222,train7562,who did paris say was the most beautiful goddess,f
223,train7583,who plays miss summers on switched at birth,f
224,train7676,who plays the mom in the fault in our stars,f
225,train7704,who gets pregnant on gossip girl season 5,f
226,train7714,who sang me and mrs jones original version,f
227,train7765,who is the first woman president of india national congress,f
228,train7771,who played diva plavalaguna in the fifth element,f
229,train7796,who was the queen of england in 1890,f
230,train7799,who plays the pigeon lady in home alone,f
231,train7846,what is the name of the princess in frozen,f
232,train7868,who played the little girl mermaid in splash,f
233,train7902,who won women's cricket world cup 2018,f
234,train7943,who is the actress who plays the mayor in blue bloods,f
235,train7947,who was the first woman to win the academy award for best adapted screenplay,f
236,train8051,who started the fire at rick's on desperate housewives,f
237,train8086,who killed the flash's mother in the comics,f
238,train8088,who is the girl that does the capital one commercial,f
239,train8134,what episode does sister jude sing the name game,f
240,train8168,who is the actress that plays donna on suits,f
241,train8211,who plays denis leary's girlfriend in animal kingdom,f
242,train8222,who plays michael's mother in prison break,f
243,train8239,who plays dr turner's wife in call the midwife,f
244,train8268,who sang i wish i had jessie's girl,f
245,train8271,who is the old woman in the shining,f
246,train8315,who was the first african american woman elected to congress,f
247,train8323,who is the actress that plays elizabeth on general hospital,f
248,train8343,who plays devoe's wife in the flash,f
249,train8358,who played oz wife in auf wiedersehen pet,f
250,train8390,who played the mom on the brady bunch,f
251,train8397,who played jesse's wife on full house,f
252,train8404,where is the girl who silenced the world for 5 minutes,f
253,train8408,who won the women's 2017 us open,f
254,train8441,who is known as the blue eyed miss india,f
255,train8517,who was the mom on 8 is enough,f
256,train8531,who plays earl's wife in my name is earl,f
257,train8549,who sings the song spooky little girl like you,f
258,train8569,who is the actress that plays nurse jackie,f
259,train8575,who won the women's cricket world cup,f
260,train8641,who plays the female lead in the 2016 film the accountant,f
261,train8657,who sang mother of mine on opportunity knocks,f
262,train8658,who gave women's right to vote first,f
263,train8685,who is the girl in the video i don't want this night to end,f
264,train8745,who plays samson's mom in the movie samson,f
265,train8765,who was the first woman elected to the accounting hall of fame,f
266,train8811,who was the girl that played punky brewster,f
267,train8835,who was carol from new york housewives married to,f
268,train8858,who played gary ewing's wife on knots landing,f
269,train8937,who plays victoria on how i met your mother,f
270,train9015,actress who played star on one life to live,f
271,train9032,who is the actress in meet joe black,f
272,train9066,who is the actress that played paris in my big fat greek wedding 2,f
273,train9150,who is the actress that plays cersei on game of thrones,f
274,train9179,who sang hey girl don't bother me,f
275,train9181,who killed henry in the time traveler's wife,f
276,train9213,who has won the title of miss india 2017,f
277,train9223,who wrote the song don't take the girl,f
278,train9305,who played roy croppers mother in coronation street,f
279,train9316,who sang i don't want to miss a thing first,f
280,train9411,who wrote the girl with the dragon tattoo,f
281,train9451,who played brad in how i met your mother,f
282,train9509,who plays the daughter in garage sale mysteries,f
283,train9523,who is jason's real mother on general hospital,f
284,train9560,who plays miriam in a discovery of witches,f
285,train9582,who played the little girl in the movie matilda,f
286,train9590,who plays goddess of love in gods of egypt,f
287,train9619,who played the robot girl in small wonder,f
288,train9705,who plays nick on how i met your mother,f
289,train9741,who is the first lady pilot in india,f
290,train9890,who wins the femina miss india 2018 title,f
291,train9985,who plays mcnulty's wife in the wire,f
292,train10014,who is the actress in the new fbi series,f
293,train10032,who plays gretchen's sister in prison break,f
294,train10066,who is the actress who plays faith in emmerdale,f
295,train10069,whos the green witch in once upon a time,f
296,train10097,who was the first woman to summit mount everest,f
297,train10141,who played donna's mom on that 70's show,f
298,train10147,who played the girl in bad news bears,f
299,train10241,who plays the trumpet in the princess and the frog,f
300,train10273,who win the miss universe title in 2016,f
301,train10316,who played cloud dancing on dr. quinn medicine woman,f
302,train10331,who wrote if i was a carpenter and you were a lady,f
303,train10361,who is the lady that does the at&t commercials,f
304,train10375,who played ellery queen in the tv series,f
305,train10435,who played the mother in ya ya sisterhood,f
306,train10454,who played james kirk's mother in star trek,f
307,train10489,who played baby's mom in dirty dancing 2017,f
308,train10490,who sings i got a meeting in the ladies room,f
309,train10526,who played the girl with the dragon tattoo actress,f
310,train10591,queen of the iceni who revolted against the romans codycross,f
311,train10597,who does rory have her first time with,f
312,train10655,who is the actress that plays queenie on shameless,f
313,train10725,who played chloe on how i met your mother,f
314,train10741,name of actress in tere naal love ho gaya,f
315,train10763,who won the women's doubles in miami,f
316,train10768,who plays mike's mother in mike and molly,f
317,train10822,who played ice cubes daughter in 22 jump street,f
318,train10841,where did the wife beater get its name,f
319,train10842,who plays miss honey in the movie matilda,f
320,train10882,who played mrs. landers on leave it to beaver,f
321,train10890,who won the women's world curling championship,f
322,train10903,who played the nuns in cannonball run 2,f
323,train10920,who is the female singer on fooled around and fell in love,f
324,train10956,who is the goddess of love in egypt,f
325,train10986,who is the little girl in war of the worlds,f
326,train11027,who plays mom in the tv show mom,f
327,train11039,who played the borg queen in star trek voyager,f
328,train11107,what is the name of sanam re movie heroine,f
329,train11114,who plays chloe the copy girl on friends,f
330,train11119,what is the name of the girl in clifford the big red dog,f
331,train11132,who plays russell crowe's wife in gladiator,f
332,train11155,who plays mark wahlberg's wife in deepwater horizon,f
333,train11160,who plays maura's mom on rizzoli and isles,f
334,train11175,who is the actress of thugs of hindustan,f
335,train11253,who is she in coming round the mountain,f
336,train11285,who does allison janney play in girl on the train,f
337,train11293,who is the actress who plays sybil in downton abbey,f
338,train11296,who played bree van de kamp in desperate housewives,f
339,train11323,who played harrison ford's wife in air force one,f
340,train11346,who plays the queen of hearts in alice in wonderland,f
341,train11398,who was the voice of mrs bates in psycho,f
342,train11433,who played moses wife in the 10 commandments,f
343,train11446,who is the actor that plays nate in gossip girl,f
344,train11545,who plays spencer's mother on pretty little liars,f
345,train11596,who is the spice girl on america got talent,f
346,train11599,who played the mom in the princess bride,f
347,train11651,who is the woman in next to me by imagine dragons,f
348,train11661,who was the first woman to dunk in the wnba,f
349,train11682,who sang i saw mama kissing santa claus,f
350,train11700,who played the elf princess in lord of the rings,f
351,train11799,who plays avery keller in a girl like her,f
352,train11840,who won the ncaa women's lacrosse championship,f
353,train11844,woman who jumped off the empire state building,f
354,train11850,who is the first indian woman to climb the mount everest,f
355,train11865,who played lou grant's wife on mary tyler moore,f
356,train11929,who wrote the song the girl is mine,f
357,train11946,who plays the hot maid in american horror story,f
358,train11982,who played the mother of rose in titanic,f
359,train11992,who does aslan represent in the lion the witch and the wardrobe,f
360,train12014,who was the first india born woman nasa astronaut,f
361,train12133,who played sister mary robert in sister act,f
362,train12161,who plays mama hattie on love thy neighbor,f
363,train12187,where did the name widows peak come from,f
364,train12191,who played mark sloan's daughter on grey's anatomy,f
365,train12199,who played the daughter of darlene on roseanne,f
366,train12214,who has sold the most girl scout cookies,f
367,train12232,who won the women's 100m sprint in the 2016 olympics,f
368,train12249,who sleeps with stifler's mom in american pie,f
369,train12260,who plays the wicked witch in once upon a time,f
370,train12261,who was jason's mom on growing pains,f
371,train12400,who is the girl that plays jane the virgin,f
372,train12439,who got the oscar for best actress 2018,f
373,train12534,who sang the song you make me feel like a natural woman,f
374,train12598,who was the original lead singer of iron maiden,f
375,train12600,who was the first female president of indian national congress,f
376,train12606,what is the name of the dragon girl in game of thrones,f
377,train12627,who plays julia roberts sister in something to talk about,f
378,train12630,who plays oliver queen's mom in arrow,f
379,train12634,who is mary mother of james and joseph,f
380,train12654,ok google who is the new miss universe,f
381,train12655,who played maid marian in robin hood tv series,f
382,train12664,who plays the red queen on game of thrones,f
383,train12752,what is the name bastian gives the empress,f
384,train12771,who is the girl captain america saves in avengers,f
385,train12779,who was the last woman hung in england,f
386,train12795,christmas movie about a little girl who lives in a hotel,f
387,train12819,who sings this lullaby queens of the stone age,f
388,train12838,who played lady crane in game of thrones,f
389,train12852,who played robb stark's wife in game of thrones,f
390,train12867,who made the song i kissed a girl,f
391,train12899,who played the girl in karate kid 3,f
392,train12965,who is the first woman governor in india,f
393,train12982,who formed the women's section of the air transport auxiliary in britain,f
394,train12996,who is the girl in the vermilion video,f
395,train13109,what is the name of princess aurora kingdom,f
396,train13119,iss pyaar ko kya naam du 2 actress name,f
397,train13161,who is considered as the first film actress of sinhala cinema,f
398,train13180,who is the girl who plays young maleficent,f
399,train13200,who was the god of war in wonder woman,f
400,train13207,who killed billy hope's wife in southpaw,f
401,train13256,who is the actress who plays belle in once upon a time,f
402,train13278,who is known as iron woman of india,f
403,train13281,who is the girl in the way you make me feel video,f
404,train13303,who plays harry potter's mom in the films,f
405,train13313,who is the girl in joe video i wanna know,f
406,train13332,who played joey bishop's wife in the joey bishop show,f
407,train13380,who played joey's sister cookie on friends,f
408,train13388,who won the us open tennis women's singles championship in 2013,f
409,train13398,who is the actress that plays abigail on days of our lives,f
410,train13479,who played the female lead role in the movie 'pakeezah',f
411,train13482,who sings tequila makes her cloths fall off,f
412,train13568,who does the voice of princess jasmine in aladdin,f
413,train13589,who is the wife in tender is the night,f
414,train13664,who sang black magic woman with carlos santana,f
415,train13707,what is the botanical name of lady finger,f
