,_id,text,orig_gender
0,train1255,who was the guy that shot himself on tv,m
1,train1312,who played ms pearly on friday after next,f
2,train8811,who was the girl that played punky brewster,f
3,train3639,who is langley air force base named for,n
4,train31045,who wrote the song the greatest man i never knew,m
5,train28216,who plays clay's wife on one tree hill,f
6,train16244,who holds the record for most mr olympia,m
7,train3529,who plays nate in i am not ashamed,n
8,train41832,who played tommy ross in the movie carrie,n
9,train1965,who is left on top chef season 15,n
10,train32331,who played ice tray on fresh prince of bel air,m
11,train40446,who wrote the song i'm on fire,n
12,train11725,who sings i'm going back to cali,n
13,train44065,who was the slytherin seeker in harry potter 1,n
14,train24225,who has played in manchester merseyside and glasgow derby,n
15,train16173,who is the female dancer in dirty dancing,f
16,train36152,every rapper's name that starts with lil,n
17,train17771,who plays chelsea's mom on young and the restless,f
18,train49274,who did batman fight in marvel vs dc,n
19,train35137,who plays kyle in the following season 3,n
20,train38447,who led the russian peasant rebellion of the 1770s,n
21,train18715,who plays the black knight in monty python,n
22,train15698,who is the actor on the carmax commercials,n
23,train1396,who played phoebe's brother's wife on friends,f
24,train267,who wrote the loneliness of the long distance runner,n
25,train9425,who wrote the song try a little kindness,n
26,train44278,who plays johanna in sweeney todd the movie,n
27,train18380,who played anne neville in the white queen,f
28,train29082,who directed butch cassidy and the sundance kid,n
29,train22173,who has the biggest state fair in the usa,n
30,train7291,where does the last name archer come from,n
31,train500,who plays young tom riddle in the chamber of secrets,n
32,train23100,who is the laughing man in ghost in the shell,m
33,train1400,who is the actress that played princess leia,f
34,train1835,who did teddy altman marry on grey's anatomy,n
35,train28766,who was the leader of new zealand during ww2,n
36,train8817,who established the indian society of oriental art,n
37,train1964,who played john wayne's daughter in mcclintock,f
38,train97,who sings dream weaver in the leon's commercial,n
39,train43164,who is the android created by noonian soong that has a cat spot,n
40,train12795,christmas movie about a little girl who lives in a hotel,f
41,train29243,american comedy actor who starred in the 1963 version of the nutty professor,n
42,train32681,who is in charge of purchasing in a company,n
43,train24422,what is the correct name for the @ symbol,n
44,train7813,who was the chief minister of mp during bhopal gas tragedy,n
45,train50022,who sang the original song our day will come,n
46,train37996,who did the music for pride and prejudice,n
47,train7073,who played lal on star trek the next generation,n
48,train23625,who was the foremost artist of the german renaissance,n
49,train49887,who is the song angel of death about,n
50,train15636,who is regina's dad once upon a time,m
51,train47285,who was the actress in singing in the rain,f
52,train29170,who sang the song sad movies make me cry,n
53,train46941,who is sara harvey in pretty little liars,n
54,train32803,who are the two candidates running to represent us in the 18th congressional district of pa,m
55,train49798,who is the pastor of temple of deliverance cogic,n
56,train27787,who sings are you gonna kiss me or not,n
57,train48508,who started the school of american ballet and the new york city ballet,n
58,train47612,who sings bella notte in lady and tramp,f
59,train43589,who is the girl dancing with pitbull in timber,f
60,train38985,who played daniel's daughter on days of our lives,f
61,train23707,who sang you dropped a bomb on me,n
62,train33041,paula radcliffe who wants to be a millionaire,n
63,train11384,who plays vincent van gogh in doctor who,n
64,train11132,who plays russell crowe's wife in gladiator,f
65,train5376,who wrote and recorded spirt in the sky,n
66,train47295,who is long live by taylor swift about,n
67,train29505,who played del preston in wayne's world,n
68,train975,who was the woman that lived with the gorillas,f
69,train45082,who was the actress that died in a skiing accident,f
70,train35929,who sang little drummer boy with bing crosby,m
71,train50128,the basic forces that motivate a person to do something to sustain biological life,n
72,train18841,actress who played aunt sally in worzel gummidge,f
73,train12567,who won the fifa world cup 2015 men's,m
74,train22272,who plays the voice of pizza steve on uncle grandpa,m
75,train10496,where did the name short pump come from,n
76,train40827,who is the bad and the beautiful based on,n
77,train23066,who created the first monotheism known in history,n
78,train49300,who is the main characters in fantastic mr fox,m
79,train42780,who is the man that appears on the wally trophy,m
80,train13659,who invented the latitude and longitude grid system,n
81,train28391,what is the origin of the last name taylor,n
82,train32846,who won the first college football national title,n
83,train4746,who plays in the movie fifty shades of grey,n
84,train26378,who plays the master in buffy season 1,n
85,train25827,who is the guy at the end of matrix reloaded,m
86,train9446,who has the power to ratify a treaty,n
87,train16814,who was the roland garros tennis tournament named after,n
88,train10490,who sings i got a meeting in the ladies room,f
89,train5092,who ended the warring states period in china,n
90,train7848,who sings the song i'm way too good at goodbyes,n
91,train39954,who is the youngest of the kardashian sisters,f
92,train45094,who invented the world's first ammonia free hair color,n
93,train25498,who sings the theme song for the boondocks,n
94,train49997,who is known for her role in narmada bachao andolan,f
95,train26775,who is known as the first lady of indian cinema,f
96,train46335,who said may we never forget freedom isn't free,n
97,train3283,who wrote the song better man for little big town,m
98,train13647,how did memphis may fire get their name,n
99,train38170,how did the brazilian wax get its name,n
