,_id,text,orig_gender
0,train27,who plays sonny's father in general hospital,m
1,train32,who is known as a father of indian cricket,m
2,train58,who played the crooked man in the conjuring 2,m
3,train67,who played the emperor in the return of the jedi,m
4,train74,who sang killing me softly with his song first,m
5,train76,who is the only son of hori and dhaniya in godan,m
6,train89,who plays bonnie's voice on family guy,m
7,train99,who should be called the father of radio,m
8,train120,who is the bad guy in lord of the rings,m
9,train162,who was the first man shot in the boston massacre,m
10,train182,who saved ghost rider from his deal with mephisto,m
11,train193,who plays ricky's dad on secret life,m
12,train209,who is the guy that plays the joker,m
13,train224,who does the voice of american dad stan,m
14,train255,who played the dad on the brady bunch,m
15,train277,who plays gwen in the amazing spider man,m
16,train279,who was the race car driver who lost both of his legs,m
17,train343,where does the man who shot liberty valance take place,m
18,train362,who played charles holy roman emperor in the tudors,m
19,train387,who provides the voice of mr smithers on the simpsons,m
20,train455,who is the father of modern codified acting methodology,m
21,train485,who plays thor's dad in the movie,m
22,train495,who plays rose on two and a half men,m
23,train514,who is the father of geometry in math,m
24,train534,who plays the chairman of the bank in mary poppins,m
25,train548,who is the actor who plays kyle on last man standing,m
26,train578,who played mr green jeans on captain kangaroo,m
27,train586,who plays betty cooper's dad in riverdale,m
28,train587,who won the 2017 australian men's singles title,m
29,train632,who is the cast of the lion king,m
30,train658,who were the founding fathers and what did they do,m
31,train687,who plays maggie's dad on grey's anatomy,m
32,train698,who were the sons of liberty and what was their purpose,m
33,train772,who plays penny in mr peabody and sherman,m
34,train788,who did the voice of jarvis in iron man,m
35,train917,who is lead singer of fall out boy,m
36,train934,who is the guy at the end of fifty shades darker,m
37,train935,whos the guy with the basket on his head in legion,m
38,train937,who plays the dad on wizards of waverly place,m
39,train954,who played the sheriff on sons of anarchy,m
40,train973,who is known as the father of statistics in india,m
41,train1000,who plays stevens dad on that 70s show,m
42,train1014,who is the current president of mexico and what is his political party,m
43,train1033,who did jeff bridges play in iron man,m
44,train1034,who is known as the father of fibre optics,m
45,train1063,who played mr. carter in welcome back carter,m
46,train1127,who plays mr wickham in pride and prejudice,m
47,train1132,the guy who plays the phantom of the opera,m
48,train1166,who sings the guy part in bring me to life,m
49,train1193,are dr jekyll and mr hyde the same person,m
50,train1236,who plays randall's dad on this is us,m
51,train1247,who does jeff fisher's voice on american dad,m
52,train1255,who was the guy that shot himself on tv,m
53,train1295,who plays barry's father on the flash,m
54,train1298,who played the son in daddy day care,m
55,train1321,who played lt jones in band of brothers,m
56,train1322,who played sweet daddy williams on good times,m
57,train1332,who played cole in mr holland's opus,m
58,train1339,who was the us president when uncle sam got his nickname,m
59,train1405,who is the first photographer that is discussed in the reading from his in the american west series,m
60,train1446,man who tore his hamstring in the olympics,m
61,train1504,who played compos son in last of the summer wine,m
62,train1545,who played ramses in exodus gods and kings,m
