,text
0,who was the guy that shot himself on tv
1,who played ms pearly on friday after next
2,who was the girl that played punky brewster
3,who is langley air force base named for
4,who wrote the song the greatest man i never knew
5,who plays clay's wife on one tree hill
6,who holds the record for most mr olympia
7,who plays nate in i am not ashamed
8,who played tommy ross in the movie carrie
9,who is left on top chef season 15
10,who played ice tray on fresh prince of bel air
11,who wrote the song i'm on fire
12,who sings i'm going back to cali
13,who was the slytherin seeker in harry potter 1
14,who has played in manchester merseyside and glasgow derby
15,who is the female dancer in dirty dancing
16,every rapper's name that starts with lil
17,who plays chelsea's mom on young and the restless
18,who did batman fight in marvel vs dc
19,who plays kyle in the following season 3
20,who led the russian peasant rebellion of the 1770s
21,who plays the black knight in monty python
22,who is the actor on the carmax commercials
23,who played phoebe's brother's wife on friends
24,who wrote the loneliness of the long distance runner
25,who wrote the song try a little kindness
26,who plays johanna in sweeney todd the movie
27,who played anne neville in the white queen
28,who directed butch cassidy and the sundance kid
29,who has the biggest state fair in the usa
30,where does the last name archer come from
31,who plays young tom riddle in the chamber of secrets
32,who is the laughing man in ghost in the shell
33,who is the actress that played princess leia
34,who did teddy altman marry on grey's anatomy
35,who was the leader of new zealand during ww2
36,who established the indian society of oriental art
37,who played john wayne's daughter in mcclintock
38,who sings dream weaver in the leon's commercial
39,who is the android created by noonian soong that has a cat spot
40,christmas movie about a little girl who lives in a hotel
41,american comedy actor who starred in the 1963 version of the nutty professor
42,who is in charge of purchasing in a company
43,what is the correct name for the @ symbol
44,who was the chief minister of mp during bhopal gas tragedy
45,who sang the original song our day will come
46,who did the music for pride and prejudice
47,who played lal on star trek the next generation
48,who was the foremost artist of the german renaissance
49,who is the song angel of death about
50,who is regina's dad once upon a time
51,who was the actress in singing in the rain
52,who sang the song sad movies make me cry
53,who is sara harvey in pretty little liars
54,who are the two candidates running to represent us in the 18th congressional district of pa
55,who is the pastor of temple of deliverance cogic
56,who sings are you gonna kiss me or not
57,who started the school of american ballet and the new york city ballet
58,who sings bella notte in lady and tramp
59,who is the girl dancing with pitbull in timber
60,who played daniel's daughter on days of our lives
61,who sang you dropped a bomb on me
62,paula radcliffe who wants to be a millionaire
63,who plays vincent van gogh in doctor who
64,who plays russell crowe's wife in gladiator
65,who wrote and recorded spirt in the sky
66,who is long live by taylor swift about
67,who played del preston in wayne's world
68,who was the woman that lived with the gorillas
