,_id,text,orig_gender
0,train1,who sang what in the world's come over you,n
1,train2,who produces the most wool in the world,n
2,train19,who made the song my achy breaky heart,n
3,train22,who sang go rest high on the mountain,n
4,train24,who does sam neil play in peter rabbit,n
5,train29,who does the voice of arby's commercial,n
6,train36,who does the voice of madame gazelle in peppa pig,n
7,train38,who won the battle of picacho pass in arizona,n
8,train39,who gave the motto back to the vedas,n
9,train48,what is the name of the diamond shaped building in chicago,n
10,train52,who is the music director of pirates of the caribbean,n
11,train53,who plays real eleanor in the good place,n
12,train62,who composed the pange lingua mass for the sistine chapel choir in about 1513,n
13,train63,who sang the sunny side of the street,n
14,train65,who has the right to issue coins in india,n
15,train66,who plays tracey in birds of a feather,n
16,train68,when was the microscope invented and by whom,n
17,train70,who is regarded as the finest stringed instrument builder of all time,n
18,train72,who replaced clarence in the e street band,n
19,train78,where did yellowstone national park get its name,n
20,train79,who made up the second coalition in 1798,n
21,train81,who does cartman's voice on south park,n
22,train82,what is the bullys name on the simpsons,n
23,train84,who initiated the game of cricket among india and how,n
24,train88,who holds the record for most lightning strikes,n
25,train96,who sang put the lime in the coconut and shake it all up,n
26,train97,who sings dream weaver in the leon's commercial,n
27,train100,who played cc bloom as a child in beaches,n
28,train101,who plays lucas in days of our lives,n
29,train102,who did the chiefs trade alex snith for,n
30,train105,who wrote the south carolina declaration of secession,n
31,train109,who has the most hat tricks in cricket,n
32,train114,who plays jake on two and a half,n
33,train123,who has the most golden gloves in baseball,n
34,train124,who played cindy lou who in the grinch who stole christmas with jim carrey,n
35,train136,what is the name of the chair the pope sits on,n
36,train140,who sang the song the battle of new orleans,n
37,train143,who is the main character in sling blade,n
38,train150,who plays ned stark on game of thrones,n
39,train152,where did the name over the rhine come from,n
40,train154,where does the last name choi come from,n
41,train158,who plays tiana in once upon a time,n
42,train161,who was born on the 28th of june,n
43,train171,who needed the heart in the wizard of oz,n
44,train172,who is young charity in the greatest showman,n
45,train178,who wrote me and bobby mcgee by janis joplin,n
46,train179,in court i defended british soldiers who were in the boston massacre. who am i,n
47,train183,where does the last name jacobo come from,n
48,train187,who was england manager in last world cup,n
49,train188,who did mekhi phifer play in 8 mile,n
50,train191,who wears the number 11 shirt at arsenal,n
51,train194,who is the current head of the department of justice,n
52,train196,who sang the original version of the lion sleeps tonight,n
53,train197,where did the bald eagle get its name,n
54,train199,who appoints the high court judge of india,n
55,train201,who was the killer in scary movie 1,n
56,train205,who plays coby in packed to the rafters,n
57,train206,who wants to be a millionaire uk lifelines,n
58,train207,what was the dean's name in animal house,n
59,train208,who played the joker in the movie the dark knight,n
60,train210,who sang splish splash i was taking a bath,n
61,train211,who plays hiccup in how to train your dragon 2,n
62,train212,who makes the kentucky derby garland of roses,n
63,train213,who wrote thats the way i always heard it should be,n
64,train218,who did donald sutherland play in the movie mash,n
65,train225,who selects the ministers to form the cabinet,n
66,train226,who is born on 29 february in india,n
67,train227,who wrote the song riding on the city of new orleans,n
68,train228,where did the city of phoenix get its name,n
69,train232,who played bass on and justice for all,n
70,train237,who won american idol the year jennifer hudson,n
71,train239,who sang i won't let you down,n
72,train242,who plays batman in the lego batman movie,n
73,train243,name the document that authorizes the creation of the us supreme court,n
74,train244,this person appoints the chief justice of the supreme court,n
75,train252,where did the name better than ezra come from,n
76,train256,who sings it's going to be me,n
77,train257,who sang the song come fly with me,n
78,train260,who owns the land under this navigable river,n
79,train263,where does the red sea get its name,n
80,train264,who fought who in the battle of hastings,n
81,train267,who wrote the loneliness of the long distance runner,n
82,train268,who teaches yoda to return through the force,n
83,train270,who sings don't stop thinking about tomorrow,n
84,train275,who sang how are things in glocca morra,n
85,train276,who will be on running wild with bear grylls 2018,n
86,train292,who came first in the history of bluegrass,n
87,train295,who ran the fastest 40 yard dash in history,n
88,train305,who does the voice of god on colbert,n
89,train308,who become the family wizard in wizards of waverly,n
90,train311,who said those who forget history are bound to repeat it,n
91,train312,where did the name lynyrd skynyrd come from,n
92,train314,who scored the first points in superbowl history,n
93,train320,who paid for the transcontinental railroad to be built,n
94,train321,who wrote the lyrics to you make it feel like christmas,n
95,train322,who was the french explorer who established quebec,n
96,train323,who became an american naval hero in the war of 1812,n
97,train324,who sings it takes two baby me and you,n
98,train326,who has lied in honor in the rotunda,n
99,train328,who sings the song don't let me down,n
100,train329,who casts the deciding vote in the senate,n
101,train331,who played mildred on the jack benny show,n
102,train337,who played scarecrow in batman dark knight rises,n
103,train339,to whom did the portuguese lose malacca in 1641,n
104,train346,where did death cab for cutie get their name,n
105,train347,who was most recently appointed to the supreme court,n
106,train348,who sang the theme song for it's a different world,n
107,train349,who goes in the last carriage of the ninky nonk,n
108,train352,who is running for us senate from ohio,n
109,train361,who sings i'm begging you for mercy,n
110,train363,who issued the decree written in three translations on the rosetta stone,n
111,train365,who won the football national championship in 2018,n
112,train373,who played jamie scott in one tree hill,n
113,train380,who played magic in blood in blood out,n
114,train385,who played ellie mae on the beverly hillbillies,n
115,train394,who played john robinson on lost in space,n
116,train396,who voices randy on f is for family,n
117,train397,who plays the cat in the hat in the movie,n
118,train401,who was ashley married to in coronation street,n
119,train402,when was iisc named to its current name,n
120,train403,who did the voice of hal in 2001,n
121,train404,who plays the designer in ocean's 8,n
122,train406,who discover the role of yeast in fermentation,n
123,train419,who was the young jedi in revenge of the sith,n
124,train421,when was the first person killed by a car,n
125,train423,who sang in the movie baby the rain must fall,n
126,train426,who played in the 2014 world cup final,n
127,train427,who is catch me if you can based on,n
128,train428,when was the name burma changed to myanmar,n
129,train432,who had the idea of the nobel peace prize,n
130,train433,who plays the voice of jafar in aladdin,n
131,train437,who plays little sweet on dr pepper commercial,n
132,train438,who wrote the song roll me up and smoke me when i die,n
133,train445,who wrote the song i write the song,n
134,train451,who won the world cup in russia 2018,n
135,train453,what is the real name for rollie pollies,n
136,train458,who does rondo play for in the nba,n
137,train459,who won the world series in 2015 baseball,n
138,train465,who was involved in the gulf of mexico oil spill,n
139,train467,who owned colorado before it became a state,n
140,train469,who uses the slogan eatin good in the neighborhood,n
141,train470,who wrote the song it ain't over til it's over,n
142,train471,operation overlord was the name given to secret planning for,n
143,train473,who appoints the members of the public company accounting oversight board quizlet,n
144,train477,who wrote sheltered in the arms of god,n
145,train489,who played santa claus in the santa clause movie,n
146,train491,what is the little boy's name in coco,n
147,train492,average income for a single person in california,n
148,train496,who does rick grimes fall in love with,n
149,train500,who plays young tom riddle in the chamber of secrets,n
150,train502,who sings what you want do for love,n
151,train507,when did the middle east get its name,n
152,train509,who illuminated the painting of constitution of india,n
153,train511,who sings the country song don't close your eyes,n
154,train512,who built the first train in the world,n
155,train516,name a famous movie with number in the title,n
156,train517,where is call me by your name opening,n
157,train518,who is the book of john written by,n
158,train519,who decided to use agent orange in vietnam,n
159,train522,who sings once i was seven years old,n
160,train525,who sings bushes of love bad lip reading,n
161,train526,who is the current cabinet secretary of australia,n
162,train530,where did the marshall tucker band get their name,n
163,train532,who is the coach of the houston cougars basketball,n
164,train540,who is the postmaster general of the united states,n
165,train542,where does the name monkey bread come from,n
166,train552,what is the name of brahmaputra river in arunachal pradesh,n
167,train554,who played the doctor in star trek voyager,n
168,train560,who sang turn back the hands of time,n
169,train564,who played batman in the dark knight rises,n
170,train574,who played ray in star wars the force awakens,n
171,train581,who hit the gong on take your pick,n
172,train582,who sang let it go in frozen movie,n
173,train583,who voices hi five in the emoji movie,n
174,train589,who made the song live and let die,n
175,train591,who did the tennessee titans used to be,n
176,train595,who plays ra's al ghul in arrow,n
177,train599,who was involved in the moral reform movement,n
178,train600,who do northern ireland represent in the olympics,n
179,train601,who sings rocky theme song eye of the tiger,n
180,train606,who sings the song my maserati does 185,n
181,train609,who did i fought the law and the law won,n
182,train610,what is the new name of world wildlife fund,n
183,train615,who played susanna on legends of the fall,n
184,train617,who plays bryce loski in the movie flipped,n
185,train619,who left once upon a time season 6,n
186,train620,who does bradley cooper end up with in aloha,n
187,train621,what is the princess's name from brave,n
188,train624,who wrote the song keep me hanging on,n
189,train628,who holds the major league home run record,n
190,train631,who sang rainy night in georgia with conway twitty,n
191,train634,who is credited with inventing the lightening conductor,n
192,train644,who wins season two of hell's kitchen,n
193,train646,who played sylvester in it's a mad mad mad mad world,n
194,train653,who appoints the judges of supreme court of india,n
195,train655,where does the last name allen come from,n
196,train656,who acted as brian o'conner in furious 7,n
197,train659,who sings baby its cold outside with dean martin,n
198,train660,who played red harvest in the magnificent seven,n
199,train663,what is the meaning of the name paige,n
200,train664,who first described the idea of natural rights,n
201,train670,who tells harry about the chamber of secrets,n
202,train671,jeff loves adopted name for music for mountains,n
203,train678,who found gold in the california gold rush,n
204,train682,who fought on what side in the french and indian war,n
205,train684,who plays will smith's partner in bright,n
206,train690,who lived in connecticut before the european settlers,n
207,train692,what is the name for the safeguard that gives each branch of government power over the others,n
208,train693,who sang get by with a little help from my friends,n
209,train694,who does julie walters play in harry potter,n
210,train696,who plays tinkerbell in once upon a time,n
211,train699,who plays jaws in the james bond movies,n
212,train700,who wrote would you lay with me in a field of stone,n
213,train703,who led an anti british movement in kitoor,n
214,train705,who introduced arch and dome architecture in india,n
215,train710,who played little duck in the five heartbeats,n
216,train711,who played bass on you're so vain,n
217,train712,who was the song night shift dedicated to,n
218,train715,where is the name ethan found in the bible,n
219,train718,who played mario in the super mario movie,n
220,train721,who made the song i wish i was a baller,n
221,train722,who sang sitting on top of the bay,n
222,train723,where did the name off white come from,n
223,train727,who sang don't it make you want to go home,n
224,train733,who is credited with creating the tv game show jeopardy,n
225,train737,who owns once upon a time in shaolin,n
226,train744,who sang up where we belong with joe cocker,n
227,train748,who played annie oakley in the tv series,n
228,train749,who did gemma whelan play in game of thrones,n
229,train750,who sang poor unfortunate souls in little mermaid,n
230,train755,who played miranda in sex and the city,n
231,train756,who sings i put my old blue jeans on,n
232,train761,who sings stand out from a goofy movie,n
233,train763,who has the most no hitters in baseball,n
234,train764,who plays the flash on the tv show,n
