,_id,text,orig_gender
0,train27,who plays sonny's father in general hospital,g
1,train32,who is known as a father of indian cricket,g
2,train46,who plays the queen of thorns in game of thrones,g
3,train58,who played the crooked man in the conjuring 2,g
4,train67,who played the emperor in the return of the jedi,g
5,train74,who sang killing me softly with his song first,g
6,train76,who is the only son of hori and dhaniya in godan,g
7,train80,what is the name of ramaiya vastavaiya heroine,g
8,train89,who plays bonnie's voice on family guy,g
9,train91,who was the lady in sons of anarchy,g
10,train99,who should be called the father of radio,g
11,train108,what is the name of lady dedlock's illegitimate daughter in bleak house,g
12,train116,who strangled susan's daughter in desperate housewives,g
13,train120,who is the bad guy in lord of the rings,g
14,train131,who plays rizzoli's mother on rizzoli & isles,g
15,train162,who was the first man shot in the boston massacre,g
16,train167,who was born in 2 halves to 2 different mothers in mahabharat,g
17,train182,who saved ghost rider from his deal with mephisto,g
18,train193,who plays ricky's dad on secret life,g
19,train209,who is the guy that plays the joker,g
20,train224,who does the voice of american dad stan,g
21,train255,who played the dad on the brady bunch,g
22,train277,who plays gwen in the amazing spider man,g
23,train279,who was the race car driver who lost both of his legs,g
24,train301,who plays sam's girlfriend on game of thrones,g
25,train343,where does the man who shot liberty valance take place,g
26,train362,who played charles holy roman emperor in the tudors,g
27,train387,who provides the voice of mr smithers on the simpsons,g
28,train389,who does the voice of grandma in moana,g
29,train418,who played robert's mother on grace and frankie,g
30,train429,what is the name of the scotty dog in lady and the tramp,g
31,train455,who is the father of modern codified acting methodology,g
32,train464,who plays rusty's mom on major crimes,g
33,train485,who plays thor's dad in the movie,g
34,train495,who plays rose on two and a half men,g
35,train514,who is the father of geometry in math,g
36,train531,who plays the crocodile in the princess and the frog,g
37,train534,who plays the chairman of the bank in mary poppins,g
38,train548,who is the actor who plays kyle on last man standing,g
39,train578,who played mr green jeans on captain kangaroo,g
40,train586,who plays betty cooper's dad in riverdale,g
41,train587,who won the 2017 australian men's singles title,g
42,train594,who played mel gibson's youngest daughter in the patriot,g
43,train614,who played maggie on how i met your mother,g
44,train632,who is the cast of the lion king,g
45,train647,who was the girl in dancing in the dark video,g
46,train658,who were the founding fathers and what did they do,g
47,train683,who plays stella in how i met your mother,g
48,train687,who plays maggie's dad on grey's anatomy,g
49,train698,who were the sons of liberty and what was their purpose,g
50,train708,who is the girl from brenda's got a baby video,g
51,train726,who is the little girl on we bought a zoo,g
52,train772,who plays penny in mr peabody and sherman,g
53,train788,who did the voice of jarvis in iron man,g
54,train820,who is the female author of silent spring,g
55,train834,shawn mendes there's nothing holding me back girl name,g
56,train865,who plays shannon on how i met your mother,g
57,train871,girl who plays in guardians of the galaxy,g
58,train917,who is lead singer of fall out boy,g
59,train934,who is the guy at the end of fifty shades darker,g
60,train935,whos the guy with the basket on his head in legion,g
61,train937,who plays the dad on wizards of waverly place,g
62,train944,who plays matt's wife on 7th heaven,g
63,train954,who played the sheriff on sons of anarchy,g
64,train958,who is the girl on slaughter album cover,g
65,train969,who played quincy's wife in the last ship,g
66,train973,who is known as the father of statistics in india,g
67,train974,where did the band name queen come from,g
68,train975,who was the woman that lived with the gorillas,g
69,train997,who put the overalls in mrs murphy's chowder,g
70,train1000,who plays stevens dad on that 70s show,g
71,train1014,who is the current president of mexico and what is his political party,g
72,train1033,who did jeff bridges play in iron man,g
73,train1034,who is known as the father of fibre optics,g
74,train1047,who wrote the song my woman my woman my wife,g
75,train1049,who is the girl on the autonation commercial,g
76,train1063,who played mr. carter in welcome back carter,g
77,train1120,who played alan bennett's mother in the lady in the van,g
78,train1127,who plays mr wickham in pride and prejudice,g
79,train1132,the guy who plays the phantom of the opera,g
80,train1166,who sings the guy part in bring me to life,g
